url, extension, reason_for_invalidation
https://api.github.com/repos/IDSIA/sacred/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/elastic/elasticsearch-dsl-py/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/lk-geimfari/mimesis/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/simonw/datasette/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/msiemens/tinydb/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/nameko/nameko/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/mobolic/facebook-sdk/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/agronholm/apscheduler/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/easy-tensorflow/easy-tensorflow/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/geex-arts/django-jet/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/dpgaspar/Flask-AppBuilder/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/spotify/chartify/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/vyperlang/vyper/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/openstack/nova/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/mongodb/mongo-python-driver/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/astorfi/Deep-Learning-Roadmap/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/scrapinghub/splash/contents/docs/contributing.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/Instagram/MonkeyType/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/coala/coala/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/bndr/pipreqs/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/crate/crate/contents/CONTRIBUTING.rst,rst,contributing is not in Markdown.
https://api.github.com/repos/cweiske/jsonmapper/contents/contributing.rst,rst,contributing is not in Markdown.
